index,facility_name,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude
1224,North Shore Hospice,,Nursing and residential care facilities,Province of British Columbia,,319,14 st e,V7L 2N6,north vancouver,British Columbia,319 14th st e north vancouver British Columbia v7l 2n6,North Vancouver,5915051.0,59,49.32073,-123.065
1225,Northcrest Care Centre Ltd.,,Nursing and residential care facilities,Province of British Columbia,,6771,120 st,V4E 2A7,delta,British Columbia,6771 120th st delta British Columbia v4e 2a7,Delta,5915011.0,59,49.126442,-122.8911054
1226,Northern Haida Gwaii Hospital and Health Centre (North End),,Hospitals,Province of British Columbia,,2520,harrison avenue,V0T 1M0,masset,British Columbia,2520 harrison avenue masset British Columbia v0t 1m0,Masset,5947023.0,59,54.020576,-132.157074
1227,Northern Health Authority,,Ambulatory health care services,Province of British Columbia,,1445,5 avenue,V0E 2Z0,valemount,British Columbia,1445 5th avenue valemount British Columbia v0e 2z0,Valemount,5953007.0,59,52.831760000000000,-119.2739
1228,Northshore Medical Clinic,,Ambulatory health care services,Province of British Columbia,,101-1171,marine drive,V7P 1T1,north vancouver,British Columbia,101-1171 marine drive north vancouver British Columbia v7p 1t1,North Vancouver,5915046.0,59,49.323377,-123.10657900000000
1229,Norwood House,,Nursing and residential care facilities,Province of British Columbia,,3636,norwood ave,V7N 3P7,north vancouver,British Columbia,3636 norwood ave north vancouver British Columbia v7n 3p7,North Vancouver,5915046.0,59,49.3429472,-123.0767595
1230,Oak Bay Lodge,,Nursing and residential care facilities,Province of British Columbia,,2251,cadboro bay rd,V8R 5H3,victoria,British Columbia,2251 cadboro bay rd victoria British Columbia v8r 5h3,Oak Bay,5917030.0,59,48.432936,-123.3138
1231,Oak Bay Medical Clinic,,Ambulatory health care services,Province of British Columbia,,101-1640,oak bay avenue,V8R 1B2,victoria,British Columbia,101-1640 oak bay avenue victoria British Columbia v8r 1b2,Victoria,5917034.0,59,48.426478,-123.334374
1232,Oakland,,Nursing and residential care facilities,Province of British Columbia,,6110,sperling ave,V5E 2T9,burnaby,British Columbia,6110 sperling ave burnaby British Columbia v5e 2t9,Burnaby,5915025.0,59,49.228339500000000,-122.9643356
1233,Ocean Medical,,Ambulatory health care services,Province of British Columbia,,1884,marine drive,V7V 1J6,west vancouver,British Columbia,1884 marine drive west vancouver British Columbia v7v 1j6,West Vancouver,5915055.0,59,49.328678000000000,-123.16385600000000
1234,Oceanside Place,,Nursing and residential care facilities,Province of British Columbia,,6039,brickyard rd,V9V 1M6,nanaimo,British Columbia,6039 brickyard rd nanaimo British Columbia v9v 1m6,Nanaimo,5921007.0,59,49.235687900000000,-124.02648130000000
1235,Old Orchard Medical Clinic,,Ambulatory health care services,Province of British Columbia,,924005,kingsway,V5H 2A1,burnaby,British Columbia,11-4429 kingsway burnaby British Columbia v5h 2a1,Burnaby,5915025.0,59,49.231407,-123.00512900000000
1236,One Hundred & Forty Three a Street Home,,Nursing and residential care facilities,Province of British Columbia,,8689,143a st,V3W 0K4,surrey,British Columbia,8689 143a st surrey British Columbia v3w 0k4,Surrey,5915004.0,59,49.160448000000000,-122.8245
1237,One Hundred and Fifty Eight a Street,,Nursing and residential care facilities,Province of British Columbia,,10607,158a st,V4N 3J2,surrey,British Columbia,10607 158a st surrey British Columbia v4n 3j2,Surrey,5915004.0,59,49.195355600000000,-122.78294940000000
1238,One Hundred and Fifty Four Street Group Home,,Nursing and residential care facilities,Province of British Columbia,,1660,154 st,V4A 4R9,surrey,British Columbia,1660 154th st surrey British Columbia v4a 4r9,Surrey,5915004.0,59,49.032257,-122.79541700000000
1239,One Hundred and Thirty First Street Home,,Nursing and residential care facilities,Province of British Columbia,,9643,131 st,V3T 3P4,surrey,British Columbia,9643 131st st surrey British Columbia v3t 3p4,Surrey,5915004.0,59,49.178018,-122.859968
1240,Onsite Detox and Transitional Housing,,Nursing and residential care facilities,Province of British Columbia,,137,e hastings st,V6A 1N5,vancouver,British Columbia,137 e hastings st vancouver British Columbia v6a 1n5,Vancouver,5915022.0,59,49.2816658,-123.1012105
1241,Onyx House,,Nursing and residential care facilities,Province of British Columbia,,1725,pearl st,V8R 2Z4,victoria,British Columbia,1725 pearl st victoria British Columbia v8r 2z4,Victoria,5917034.0,59,48.441832,-123.33275
1242,Orchard Haven,,Nursing and residential care facilities,Province of British Columbia,,700,3 st,V0X 1N0,keremeos,British Columbia,700 3 st keremeos British Columbia v0x 1n0,Keremeos,5907009.0,59,49.204679,-119.833278
1243,Orchard Heights,,Nursing and residential care facilities,Province of British Columbia,,5538,chaffey ave,V5H 2S2,burnaby,British Columbia,5538 chaffey ave burnaby British Columbia v5h 2s2,Burnaby,5915025.0,59,49.234362700000000,-123.00706840000000
1244,Orchard Manor at Hawthorn Park,,Nursing and residential care facilities,Province of British Columbia,,3221,casorso rd,V1Y 3J5,kelowna,British Columbia,3221 casorso rd kelowna British Columbia v1y 3j5,Kelowna,5935010.0,59,49.8602539,-119.48533530000000
1245,Orchard Medical Centre,,Ambulatory health care services,Province of British Columbia,,104-1990,cooper road,V1Y 8K5,kelowna,British Columbia,104-1990 cooper road kelowna British Columbia v1y 8k5,Kelowna,5935010.0,59,49.877565000000000,-119.44335600000000
1246,Orchard Recovery Center,,Nursing and residential care facilities,Province of British Columbia,,811,grafton rd,V0N 1G2,bowen island,British Columbia,811 grafton rd bowen island British Columbia v0n 1g2,Bowen Island,5915062.0,59,49.372131,-123.361
1247,Orchard View Group Home,,Nursing and residential care facilities,Province of British Columbia,,3231,30 st ne,V1E 3L1,salmon arm,British Columbia,3231 30 st ne salmon arm British Columbia v1e 3l1,Salmon Arm,5939032.0,59,50.723292,-119.250892
1248,Orcrest Group Home,,Nursing and residential care facilities,Province of British Columbia,,860,orcrest dr,V2B 6T2,kamloops,British Columbia,860 orcrest dr kamloops British Columbia v2b 6t2,Kamloops,5933042.0,59,50.7750076,-120.3438216
1249,Ord Road Group Home,,Nursing and residential care facilities,Province of British Columbia,,3510,ord road,V2B 8B6,kamloops,British Columbia,3510 ord road kamloops British Columbia v2b 8b6,Kamloops,5933042.0,59,50.715316000000000,-120.46172
1250,Origin at Longwood (Astoria Suites),,Nursing and residential care facilities,Province of British Columbia,,6205,oliver rd,V9T 6T1,nanaimo,British Columbia,6205 oliver rd nanaimo British Columbia v9t 6t1,Nanaimo,5921007.0,59,49.22078,-124.03124
1251,Orillia House,,Nursing and residential care facilities,Province of British Columbia,,2965,orillia st,V9A 1Y6,victoria,British Columbia,2965 orillia st victoria British Columbia v9a 1y6,Saanich,5917021.0,59,48.448213700000000,-123.39593330000000
1252,Oriole House,,Nursing and residential care facilities,Province of British Columbia,,1080,holt st,V2B 5H2,kamloops,British Columbia,1080 holt st kamloops British Columbia v2b 5h2,Kamloops,5933042.0,59,50.709140600000000,-120.3889523
1253,Oriole Lodge,,Nursing and residential care facilities,Province of British Columbia,,32539,oriole cres,V2T 4C7,abbotsford,British Columbia,32539 oriole cres abbotsford British Columbia v2t 4c7,Abbotsford,5909052.0,59,49.057249600000000,-122.32300390000000
1254,Orion House,,Nursing and residential care facilities,Province of British Columbia,,20395,42 ave,V3A 3A6,langley,British Columbia,20395 42nd ave langley British Columbia v3a 3a6,Langley,5915001.0,59,49.0785912,-122.65863760000000
1255,Ospika Residence,,Nursing and residential care facilities,Province of British Columbia,,2690,ospika blvd s,V2N 2L8,prince george,British Columbia,2690 ospika blvd s prince george British Columbia v2n 2l8,Prince George,5953023.0,59,53.893633000000000,-122.78843
1256,Osprey Home,,Nursing and residential care facilities,Province of British Columbia,,30772,osprey dr,V2T 5J4,abbotsford,British Columbia,30772 osprey dr abbotsford British Columbia v2t 5j4,Abbotsford,5909052.0,59,49.057665,-122.3712483
1257,Our House,,Nursing and residential care facilities,Province of British Columbia,,2620,hoskins road,V7J 3A3,north vancouver,British Columbia,2620 hoskins road north vancouver British Columbia v7j 3a3,North Vancouver,5915046.0,59,49.3323066,-123.02578090000000
1258,Our Place,,Nursing and residential care facilities,Province of British Columbia,,287,e 33 ave,V5V 2Z7,vancouver,British Columbia,287 e 33rd ave vancouver British Columbia v5v 2z7,Vancouver,5915022.0,59,49.2407212,-123.09933260000000
1259,Overlander Extended Care Hospital,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V2B 7Z9,kamloops,British Columbia,,Kamloops,,59,,
1260,Oyster Harbour Seniors Community,,Nursing and residential care facilities,Province of British Columbia,,1127,fourth ave,V9G 1A6,ladysmith,British Columbia,1127 fourth ave ladysmith British Columbia v9g 1a6,Ladysmith,5919021.0,59,48.9966463,-123.8287358
1261,Ozanam House,,Nursing and residential care facilities,Province of British Columbia,,2629,richter st,V1Y 2R3,kelowna,British Columbia,2629 richter st kelowna British Columbia v1y 2r3,Kelowna,5935010.0,59,49.866796800000000,-119.48778270000000
1262,Pacific Medical Clinic,,Ambulatory health care services,Province of British Columbia,,6176,fraser street,V5W 3A1,vancouver,British Columbia,6176 fraser street vancouver British Columbia v5w 3a1,Vancouver,5915022.0,59,49.2286,-123.09063200000000
1263,Pacifica House,,Nursing and residential care facilities,Province of British Columbia,,46110,collins dr,V2R 2G2,chilliwack,British Columbia,46110 collins dr chilliwack British Columbia v2r 2g2,Chilliwack,5909020.0,59,49.1262975,-121.9500919
1264,Pacifica Treatment Centre,,Nursing and residential care facilities,Province of British Columbia,,1755,e 11 ave,V5N 1Y9,vancouver,British Columbia,1755 e 11th ave vancouver British Columbia v5n 1y9,Vancouver,5915022.0,59,49.2607112,-123.0684104
1265,Paddock Home,,Nursing and residential care facilities,Province of British Columbia,,124,paddock pl,V9B 5G1,victoria,British Columbia,124 paddock pl victoria British Columbia v9b 5g1,View Royal,5917047.0,59,48.4613659,-123.4394017
1266,Padwick House,,Nursing and residential care facilities,Province of British Columbia,,1924,jones avenue n,V7M 2W5,vancouver,British Columbia,1924 jones avenue north vancouver British Columbia v7m 2w5,North Vancouver,5915051.0,59,49.3267725,-123.08113690000000
1267,Paisley House,,Nursing and residential care facilities,Province of British Columbia,,3091,paisley rd,V7R 1C7,north vancouver,British Columbia,3091 paisley rd north vancouver British Columbia v7r 1c7,West Vancouver,5915055.0,59,49.336714,-123.198295
1268,Panama House,,Nursing and residential care facilities,Province of British Columbia,,4148,carey rd,V8Z 4G8,victoria,British Columbia,4148 carey rd victoria British Columbia v8z 4g8,Saanich,5917021.0,59,48.477019,-123.39917
1269,Panorama Village Medical Clinic,,Ambulatory health care services,Province of British Columbia,,15157,56 avenue,V3S 9A5,surrey,British Columbia,15157 56th avenue surrey British Columbia v3s 9a5,Surrey,5915004.0,59,49.105540000000000,-122.8027
1270,Park and Tilford Medical Treatment Centre,,Ambulatory health care services,Province of British Columbia,,333,brooksbank avenue n,V7J 3S8,vancouver,British Columbia,333 brooksbank avenue north vancouver British Columbia v7j 3s8,North Vancouver,5915051.0,59,49.308678,-123.04047
1271,Park Drive Home,,Nursing and residential care facilities,Province of British Columbia,,6499,park drive,V0H 1T4,oliver,British Columbia,6499 park drive oliver British Columbia v0h 1t4,Oliver,5907014.0,59,49.1872754,-119.54188630000000
1276,Park Place Seniors Living Inc. — Fort Langley Seniors Village,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V1M 2R4,fort langley,British Columbia,,,,59,,
1277,Park Place Seniors Living Inc. — Glenwood Seniors Community,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V0M 1A2,agassiz,British Columbia,,,,59,,
1286,Parker Place Medical Clinic,,Ambulatory health care services,Province of British Columbia,,4380,no 3 road,V6X 3V7,richmond,British Columbia,4380 no. 3 road richmond British Columbia v6x 3v7,Richmond,5915015.0,59,49.181670000000000,-123.1347
1287,Parklandview,,Nursing and residential care facilities,Province of British Columbia,,8833,158 st,V4N 2Y7,surrey,British Columbia,8833 158th st surrey British Columbia v4n 2y7,Surrey,5915004.0,59,49.163526700000000,-122.7846172
1288,Parkside House,,Nursing and residential care facilities,Province of British Columbia,,1740,feltham rd,V8N 2A3,victoria,British Columbia,1740 feltham rd victoria British Columbia v8n 2a3,Saanich,5917021.0,59,48.476296400000000,-123.32861970000000
1289,Parkside Intermediate Care Home,,Nursing and residential care facilities,Province of British Columbia,,788,ospika blvd,V2M 6W5,prince george,British Columbia,788 ospika blvd prince george British Columbia v2m 6w5,Prince George,5953023.0,59,53.917385000000000,-122.7952
1290,Parktree House,,Nursing and residential care facilities,Province of British Columbia,,12229,parktree cres,V3X 1Z9,surrey,British Columbia,12229 parktree cres surrey British Columbia v3x 1z9,Surrey,5915004.0,59,49.1161555,-122.88499920000000
1291,Parkview Place,,Nursing and residential care facilities,Province of British Columbia,,707,3 avenue,V0E 1V0,enderby,British Columbia,707 3 avenue enderby British Columbia v0e 1v0,Enderby,5937033.0,59,50.5466217,-119.1407493
1293,Parkway Medical Clinic,,Ambulatory health care services,Province of British Columbia,,835,langford parkway,V9B 4V5,victoria,British Columbia,835 langford parkway victoria British Columbia v9b 4v5,Langford,5917044.0,59,48.441396000000000,-123.504347
1294,Parkwood Court,,Nursing and residential care facilities,Province of British Columbia,,3000,shelbourne st,V8R 4M8,victoria,British Columbia,3000 shelbourne st victoria British Columbia v8r 4m8,Victoria,5917034.0,59,48.4441795,-123.3338227
1295,Paskin Home,,Nursing and residential care facilities,Province of British Columbia,,761,paskin way,V8Z 6N4,victoria,British Columbia,761 paskin way victoria British Columbia v8z 6n4,Saanich,5917021.0,59,48.4935158,-123.39257040000000
1296,Path to Freedom Treatment Centre Ltd.,,Nursing and residential care facilities,Province of British Columbia,,19030,56 ave,V3S 4N7,surrey,British Columbia,19030 56th ave surrey British Columbia v3s 4n7,Surrey,5915004.0,59,49.10420870000000,-122.69551330000000
1297,Patterson Home,,Nursing and residential care facilities,Province of British Columbia,,7882,patterson rd,V8M 1L5,saanichton,British Columbia,7882 patterson rd saanichton British Columbia v8m 1l5,Central Saanich,5917015.0,59,48.5967597,-123.41537450000000
1299,Peace Arch Hospital,extended care,Hospitals,Public Health Agency of Canada,,15521,russell ave,V4B 2R4,white rock,British Columbia,15521 russell ave. white rock British Columbia v4b 2r4,White Rock,5915007.0,59,49.029968,-122.792231
1302,Peace Portal Seniors Village,,Nursing and residential care facilities,Province of British Columbia,,15441,16 ave,V4A 8T8,surrey,British Columbia,15441 16th ave surrey British Columbia v4a 8t8,Surrey,5915004.0,59,49.031282,-122.79452960000000
1303,Peace Villa,,Nursing and residential care facilities,Province of British Columbia,,8407,112 ave,V1J 0J5,fort st john,British Columbia,8407 112 ave fort st. john British Columbia v1j 0j5,Fort St. John,5955034.0,59,56.25673200000000,-120.81792
1304,Peach City Medical and Urgent Care Clinic,,Ambulatory health care services,Province of British Columbia,,166-2111,main street,V2A 6W6,penticton,British Columbia,166-2111 main street penticton British Columbia v2a 6w6,Penticton,5907041.0,59,49.472813,-119.583878
1305,Peardonville House Treatment Centre,,Nursing and residential care facilities,Province of British Columbia,,825,peardonville rd,V4X 2K3,abbotsford,British Columbia,825 peardonville rd abbotsford British Columbia v4x 2k3,Abbotsford,5909052.0,59,49.017735200000000,-122.4065114
1306,Pearl House,,Nursing and residential care facilities,Province of British Columbia,,1727,pearl st,V8X 5L3,victoria,British Columbia,1727 pearl st victoria British Columbia v8x 5l3,Victoria,5917034.0,59,48.4417088,-123.33276070000000
1307,Pemberton Marine Medical Clinic,,Ambulatory health care services,Province of British Columbia,,1224,marine drive,V7P 1T2,north vancouver,British Columbia,1224 marine drive north vancouver British Columbia v7p 1t2,North Vancouver,5915046.0,59,49.32489,-123.1098
1308,Pender House,,Nursing and residential care facilities,Province of British Columbia,,2596,e pender st,V5K 2B5,vancouver,British Columbia,2596 e pender st vancouver British Columbia v5k 2b5,Vancouver,5915022.0,59,49.279942,-123.052
1309,Pendleton House,,Nursing and residential care facilities,Province of British Columbia,,9580,pendleton road,V7E 4N1,richmond,British Columbia,9580 pendleton road richmond British Columbia v7e 4n1,Richmond,5915015.0,59,49.14485430000000,-123.17729070000000
1310,Peninsula Medical Clinic,,Ambulatory health care services,Province of British Columbia,,15388,24 avenue,V4A 2J2,surrey,British Columbia,15388 24th avenue surrey British Columbia v4a 2j2,Surrey,5915004.0,59,49.045582,-122.79638700000000
1311,Penticton Regional Hospital,general,Hospitals,Public Health Agency of Canada,,550,carmi ave,V2A 3G6,penticton,British Columbia,550 carmi ave. penticton British Columbia v2a 3g6,Penticton,5907041.0,59,49.4812182,-119.577927
1312,Peruzzo House - v.i.t.a.l.s.,,Nursing and residential care facilities,Province of British Columbia,,d-156,government st,V9L 1A2,duncan,British Columbia,d-156 government st duncan British Columbia v9l 1a2,Duncan,5919012.0,59,48.777064,-123.70945
1313,Peters Road House,,Nursing and residential care facilities,Province of British Columbia,,1904,peters road,V7J 1Y9,north vancouver,British Columbia,1904 peters road north vancouver British Columbia v7j 1y9,North Vancouver,5915046.0,59,49.341873,-123.02222140000000
1314,Phoenix Center Quibble Creek,,Nursing and residential care facilities,Province of British Columbia,,13670,94a ave,V3V 1N1,surrey,British Columbia,13670 94a ave surrey British Columbia v3v 1n1,Surrey,5915004.0,59,49.1745124,-122.8437601
1315,Phoenix Centre,,Nursing and residential care facilities,Province of British Columbia,,922,3 ave,V2C 6W5,kamloops,British Columbia,922 3 ave kamloops British Columbia v2c 6w5,Kamloops,5933042.0,59,50.6693527,-120.3363635
1316,Piccadilly Care Center,,Nursing and residential care facilities,Province of British Columbia,,821,10 ave sw,V1E 1T2,salmon arm,British Columbia,821 10 ave sw salmon arm British Columbia v1e 1t2,Salmon Arm,5939032.0,59,50.6929509,-119.29555520000000
1317,Piercy Respite Hotel,,Nursing and residential care facilities,Province of British Columbia,,1454,hillside ave,V8T 2B7,victoria,British Columbia,1454 hillside ave victoria British Columbia v8t 2b7,Victoria,5917034.0,59,48.4425235,-123.342568
1318,Pine Acres Home,,Nursing and residential care facilities,Province of British Columbia,,1902,pheasant ln,V4T 2H4,westbank,British Columbia,1902 pheasant ln westbank British Columbia v4t 2h4,Tsinstikeptum  9,5935802.0,59,49.839286,-119.59551
1319,Pine Grove Lodge,,Nursing and residential care facilities,Province of British Columbia,,313,mcgowan avenue,V2B 2N8,kamloops,British Columbia,313 mcgowan avenue kamloops British Columbia v2b 2n8,Kamloops,5933042.0,59,50.687416600000000,-120.35094280000000
1320,Pinegrove Place,,Nursing and residential care facilities,Province of British Columbia,,11331,mellis drive,V6X 1L8,richmond,British Columbia,11331 mellis drive richmond British Columbia v6x 1l8,Richmond,5915015.0,59,49.186792500000000,-123.09844710000000
1321,Pinetree Lodge,,Nursing and residential care facilities,Province of British Columbia,,1370,el camino dr,V3E 2W6,coquitlam,British Columbia,1370 el camino dr coquitlam British Columbia v3e 2w6,Coquitlam,5915034.0,59,49.295331700000000,-122.77955830000000
1322,Pioneer House,,Nursing and residential care facilities,Province of British Columbia,,220,sherbrooke st,V3L 3M2,new westminster,British Columbia,220 sherbrooke st new westminster British Columbia v3l 3m2,New Westminster,5915029.0,59,49.227338200000000,-122.8881385
1323,Plateau Medical Clinic,,Ambulatory health care services,Province of British Columbia,,1410,parkway boulevard,V3E 3J7,coquitlam,British Columbia,1410 parkway boulevard coquitlam British Columbia v3e 3j7,Coquitlam,5915034.0,59,49.297014000000000,-122.803349
1324,Pleasant Valley Health Centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,3800,pattern dr,V0E 1B2,armstrong,British Columbia,,Armstrong,,59,,
1325,Pleasant Valley Manor,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V0E 1B2,armstrong,British Columbia,,Armstrong,,59,,
1326,Pleasant View (Pleasant View Housing Society),,Nursing and residential care facilities,Province of British Columbia,,7530,hurd st,V2V 3H9,mission,British Columbia,7530 hurd st mission British Columbia v2v 3h9,Mission,5909056.0,59,49.13839,-122.33185700000000
1327,Plymouth Group Home,,Nursing and residential care facilities,Province of British Columbia,,972,plymouth dr,V7H 2J1,north vancouver,British Columbia,972 plymouth dr north vancouver British Columbia v7h 2j1,North Vancouver,5915046.0,59,49.31471810000000,-122.99203030000000
1328,Point Grey Medical Clinic,,Ambulatory health care services,Province of British Columbia,,4448,west 10 avenue,V6R 2H9,vancouver,British Columbia,4448 west 10th avenue vancouver British Columbia v6r 2h9,Vancouver,5915022.0,59,49.26383,-123.20751100000000
1329,Polson,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V1T 5L2,vernon,British Columbia,,Vernon,,59,,
1330,Ponderosa Lodge,,Nursing and residential care facilities,Province of British Columbia,,425,columbia st,V2C 2T4,kamloops,British Columbia,425 columbia st kamloops British Columbia v2c 2t4,Kamloops,5933042.0,59,50.670828,-120.331933
1331,Poplar Ridge Pavilion,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V1R 4M1,trail,British Columbia,,Trail,,59,,
1332,Port Alice Health Centre,general,Hospitals,Public Health Agency of Canada,,1090,marine dr,V0N 2N0,port alice,British Columbia,1090 marine dr. port alice British Columbia v0n 2n0,Port Alice,5943017.0,59,50.426008700000000,-127.4878351
1333,Port Hardy Hospital,general,Hospitals,Public Health Agency of Canada,,9120,granville st,V0N 2P0,port hardy,British Columbia,9120 granville st. port hardy British Columbia v0n 2p0,Port Hardy,5943023.0,59,50.720011800000000,-127.502909
1334,Port Mcneill and District Hospital,general,Hospitals,Public Health Agency of Canada,,2750,kingcome place,V0N 2R0,port mcneill,British Columbia,2750 kingcome place port mcneill British Columbia v0n 2r0,Port McNeill,5943012.0,59,50.580646200000000,-127.0678577
1336,Porter Lane,,Nursing and residential care facilities,Province of British Columbia,,1107,como lake ave,V3J 3N9,coquitlam,British Columbia,1107 como lake ave coquitlam British Columbia v3j 3n9,Coquitlam,5915034.0,59,49.263972000000000,-122.861325
1337,Portsmouth Road Home,,Nursing and residential care facilities,Province of British Columbia,,6510,portsmouth rd,V9V 1A3,nanaimo,British Columbia,6510 portsmouth rd nanaimo British Columbia v9v 1a3,Nanaimo,5921007.0,59,49.24003,-124.04648
1338,Powell River General Hospital,general,Hospitals,Public Health Agency of Canada,,5000,joyce ave,V8A 5R3,powell river,British Columbia,5000 joyce ave. powell river British Columbia v8a 5r3,Powell River,5927008.0,59,49.850826300000000,-124.518391
1340,Prairie Valley Lodge,,Nursing and residential care facilities,Province of British Columbia,,10312,prairie valley rd,V0H 1Z0,summerland,British Columbia,10312 prairie valley rd summerland British Columbia v0h 1z0,Summerland,5907035.0,59,49.597847000000000,-119.68345
1341,Prema Place,,Nursing and residential care facilities,Province of British Columbia,,3273,mary anne cres,V9C 3M3,victoria,British Columbia,3273 mary anne cres victoria British Columbia v9c 3m3,Colwood,5917041.0,59,48.424911,-123.50122000000000
1342,Primecare Medical Centre,,Ambulatory health care services,Province of British Columbia,,201-7315,edmonds street,V3N 1A7,burnaby,British Columbia,201-7315 edmonds street burnaby British Columbia v3n 1a7,Burnaby,5915025.0,59,49.218846,-122.95161500000000
1343,Primrose Centre for Community Living,,Nursing and residential care facilities,Province of British Columbia,,4807,georgia st,V4K 2T1,delta,British Columbia,4807 georgia st delta British Columbia v4k 2t1,Delta,5915011.0,59,49.090422500000000,-123.08850600000000
1344,Prince Avenue Home,,Nursing and residential care facilities,Province of British Columbia,,101,prince ave,V1N 1C7,castlegar,British Columbia,101 prince ave castlegar British Columbia v1n 1c7,Castlegar,5903045.0,59,49.3290404,-117.67322080000000
1345,Prince George Regional Hospital,general,Hospitals,Public Health Agency of Canada,,1475,edmonton st,V2M 1S2,prince george,British Columbia,1475 edmonton st. prince george British Columbia v2m 1s2,Prince George,5953023.0,59,53.9113826,-122.76447580000000
1346,Prince Rupert Regional Hospital,general,Hospitals,Public Health Agency of Canada,,1305,summit ave,V8J 2A6,prince rupert,British Columbia,1305 summit ave. prince rupert British Columbia v8j 2a6,Prince Rupert,5947012.0,59,54.3044463,-130.331503
1347,Princeton General Hospital,general,Hospitals,Public Health Agency of Canada,,98,ridgewood,V0X 1W0,princeton,British Columbia,98 ridgewood princeton British Columbia v0x 1w0,Princeton,5907024.0,59,49.454095200000000,-120.526738
1348,Priory (Hiscock & Heritage Woods),long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V9B 2W4,victoria,British Columbia,,Victoria,,59,,
1349,St. Paul's Hospital,general,Hospitals,Public Health Agency of Canada,,1081,burrard st,V6Z 1Y6,vancouver,British Columbia,1081 burrard st. vancouver British Columbia v6z 1y6,Vancouver,5915022.0,59,49.280516,-123.1281872
1350,Providence Health Care - Holy Family Hospital,rehabilitation,Hospitals,Public Health Agency of Canada,,7801,argyle st,V5P 3L6,vancouver,British Columbia,7801 argyle st. vancouver British Columbia v5p 3l6,Vancouver,5915022.0,59,49.212701,-123.07308
1351,Providence Health Care - Mount Saint Joseph Hospital,general,Hospitals,Public Health Agency of Canada,,3080,prince edward st,V5T 3N4,vancouver,British Columbia,3080 prince edward st. vancouver British Columbia v5t 3n4,Vancouver,5915022.0,59,49.258002000000000,-123.095299
1353,Providence Health Care — St Vincent’s: Langara,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,V5X 4V4,vancouver,British Columbia,,Vancouver,,59,,
1355,Purcell Place,,Nursing and residential care facilities,Province of British Columbia,,1906,kelowna cres,V1C 6E5,cranbrook,British Columbia,1906 kelowna cres cranbrook British Columbia v1c 6e5,Cranbrook,5901022.0,59,49.527675,-115.74160490000000
1357,Pure Care Clinic,,Ambulatory health care services,Province of British Columbia,,105-22470,dewdney trunk road,V2X 5Z6,maple ridge,British Columbia,105-22470 dewdney trunk road maple ridge British Columbia v2x 5z6,Maple Ridge,5915075.0,59,49.219791,-122.60001300000000
1358,Qe Park Medical Clinic,,Ambulatory health care services,Province of British Columbia,,4060,cambie street,V5Z 2X8,vancouver,British Columbia,4060 cambie street vancouver British Columbia v5z 2x8,Vancouver,5915022.0,59,49.249473000000000,-123.11521600000000
1359,Quadling House a,,Nursing and residential care facilities,Province of British Columbia,,820,quadling ave,V3K 2A4,coquitlam,British Columbia,820 quadling ave coquitlam British Columbia v3k 2a4,Coquitlam,5915034.0,59,49.2408467,-122.87505970000000
1360,Quadra Village Medical Clinic,,Ambulatory health care services,Province of British Columbia,,2631,quadra street,V8T 4E4,victoria,British Columbia,2631 quadra street victoria British Columbia v8t 4e4,Victoria,5917034.0,59,48.438086,-123.358897
1361,Qualicum Manor,,Nursing and residential care facilities,Province of British Columbia,,124,fourth ave e,V9K 1N6,qualicum beach,British Columbia,124 fourth ave e qualicum beach British Columbia v9k 1n6,Qualicum Beach,5921023.0,59,49.3449157,-124.44052450000000
1362,Quarterway Place,,Nursing and residential care facilities,Province of British Columbia,,2573,labieux rd,V9T 3M8,nanaimo,British Columbia,2573 labieux rd nanaimo British Columbia v9t 3m8,Nanaimo,5921007.0,59,49.199093100000000,-124.0121423
1363,Queen Alexandra Centre for Children's Health,rehabilitation,Hospitals,Public Health Agency of Canada,,2400,arbutus rd,V8N 1V7,victoria,British Columbia,2400 arbutus rd. victoria British Columbia v8n 1v7,Saanich,5917021.0,59,48.471510000000000,-123.29954
1364,Queen Charlotte Islands General Hospital,general,Hospitals,Public Health Agency of Canada,,3209,third ave,V0T 1M0,queen charlotte,British Columbia,3209 third ave. queen charlotte British Columbia v0t 1m0,Queen Charlotte,5947026.0,59,53.25464100000000,-132.072632
1366,Queen Victoria Hospital and Health Centre,general,Hospitals,Public Health Agency of Canada,,1200,newlands rd,V0E 2S0,revelstoke,British Columbia,1200 newlands rd. revelstoke British Columbia v0e 2s0,Revelstoke,5939019.0,59,50.97680220000000,-118.19014010000000
1368,Queen’s Park & Fellburn Care Centres — Fellburn Care Centre,"active acute hospital, long term care",Hospitals,Canadian Institute for Health Information,,6050,east hastings street,V5B 1R6,burnaby,British Columbia,,Burnaby,,59,,
